County;Normal Charging Point;Fast Charging Point;Total;Year
Kreisfreie Stadt Halle (Saale);31;0;31;2017
Kreisfreie Stadt Magdeburg;6;6;12;2017
Landkreis Altmarkkreis Salzwedel;0;0;0;2017
Landkreis Anhalt-Bitterfeld;0;8;8;2017
Landkreis Börde;0;2;2;2017
Landkreis Burgenlandkreis;0;6;6;2017
Landkreis Harz;0;4;4;2017
Landkreis Jerichower Land;0;2;2;2017
Landkreis Mansfeld-Südharz;4;0;4;2017
Landkreis Saalekreis;6;1;7;2017
Landkreis Salzlandkreis;0;8;8;2017
Landkreis Stendal;0;0;0;2017
Landkreis Wittenberg;4;0;4;2017
Kreis Dithmarschen;20;2;22;2017
Kreis Herzogtum Lauenburg;14;1;15;2017
Kreis Nordfriesland;47;12;59;2017
Kreis Ostholstein;16;5;21;2017
Kreis Pinneberg;14;5;19;2017
Kreis Plön;4;0;4;2017
Kreis Rendsburg-Eckernförde;15;3;18;2017
Kreis Schleswig-Flensburg;14;0;14;2017
Kreis Segeberg;23;0;23;2017
Kreis Steinburg;0;0;0;2017
Kreis Stormarn;0;5;5;2017
Kreisfreie Stadt Flensburg;1;2;3;2017
Kreisfreie Stadt Kiel;28;0;28;2017
Kreisfreie Stadt Lübeck;14;0;14;2017
Kreisfreie Stadt Neumünster;9;0;9;2017
Kreisfreie Stadt Eisenach;10;0;10;2017
Kreisfreie Stadt Erfurt;8;1;9;2017
Kreisfreie Stadt Gera;0;0;0;2017
Kreisfreie Stadt Jena;16;2;18;2017
Kreisfreie Stadt Suhl;4;0;4;2017
Kreisfreie Stadt Weimar;3;0;3;2017
Landkreis Altenburger Land;8;0;8;2017
Landkreis Eichsfeld;11;9;20;2017
Landkreis Gotha;0;0;0;2017
Landkreis Greiz;2;0;2;2017
Landkreis Hildburghausen;0;2;2;2017
Landkreis Ilm-Kreis;0;8;8;2017
Landkreis Kyffhäuserkreis;0;0;0;2017
Landkreis Nordhausen;2;0;2;2017
Landkreis Saale-Holzland-Kreis;6;8;14;2017
Landkreis Saale-Orla-Kreis;0;0;0;2017
Landkreis Saalfeld-Rudolstadt;2;0;2;2017
Landkreis Schmalkalden-Meiningen;9;0;9;2017
Landkreis Sömmerda;0;0;0;2017
Landkreis Sonneberg;0;0;0;2017
Landkreis Unstrut-Hainich-Kreis;4;0;4;2017
Landkreis Wartburgkreis;2;0;2;2017
Landkreis Weimarer Land;0;0;0;2017
Landkreis Alb-Donau-Kreis;12;8;20;2017
Landkreis Biberach;4;4;8;2017
Landkreis Böblingen;7;12;19;2017
Landkreis Bodenseekreis;68;0;68;2017
Landkreis Breisgau-Hochschwarzwald;30;6;36;2017
Landkreis Calw;2;0;2;2017
Landkreis Emmendingen;6;0;6;2017
Landkreis Enzkreis;2;4;6;2017
Landkreis Esslingen;21;2;23;2017
Landkreis Freudenstadt;6;0;6;2017
Landkreis Göppingen;4;9;13;2017
Landkreis Heidenheim;11;10;21;2017
Landkreis Heilbronn;9;16;25;2017
Landkreis Hohenlohekreis;0;8;8;2017
Landkreis Karlsruhe;117;6;123;2017
Landkreis Konstanz;7;1;8;2017
Landkreis Lörrach;48;2;50;2017
Landkreis Ludwigsburg;38;7;45;2017
Landkreis Main-Tauber-Kreis;16;2;18;2017
Landkreis Neckar-Odenwald-Kreis;0;0;0;2017
Landkreis Ortenaukreis;20;18;38;2017
Landkreis Ostalbkreis;23;0;23;2017
Landkreis Rastatt;0;4;4;2017
Landkreis Ravensburg;14;2;16;2017
Landkreis Rems-Murr-Kreis;27;2;29;2017
Landkreis Reutlingen;14;0;14;2017
Landkreis Rhein-Neckar-Kreis;8;24;32;2017
Landkreis Rottweil;5;0;5;2017
Landkreis Schwäbisch Hall;2;4;6;2017
Landkreis Schwarzwald-Baar-Kreis;23;2;25;2017
Landkreis Sigmaringen;2;0;2;2017
Landkreis Tübingen;14;2;16;2017
Landkreis Tuttlingen;2;0;2;2017
Landkreis Waldshut;44;2;46;2017
Landkreis Zollernalbkreis;0;0;0;2017
Stadtkreis Baden-Baden;2;0;2;2017
Stadtkreis Freiburg im Breisgau;20;0;20;2017
Stadtkreis Heidelberg;14;0;14;2017
Stadtkreis Heilbronn;4;2;6;2017
Stadtkreis Karlsruhe;2;0;2;2017
Stadtkreis Mannheim;7;0;7;2017
Stadtkreis Pforzheim;0;0;0;2017
Stadtkreis Stuttgart;15;0;15;2017
Stadtkreis Ulm;80;0;80;2017
